Yoga_1,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Left Wrist,222,399,245,405,219,394,23.76972865,84.15351423,5.830951895,96.11269874,,,,,,,,,,,,,,,,,,
,Right Wrist,753,473,749,475,756,474,4.472135955,97.01857603,3.16227766,97.89181489,,,,,,,,,,,,,,,,,,
,Left Hip,433,634,442,654,451,673,21.9317122,85.37885853,42.95346319,71.36435787,,,,,,,,,,,,,,,,,,
,Right Hip,529,651,519,652,511,677,10.04987562,93.30008292,31.6227766,78.91814893,,,,,,,,,,,,,,,,,,
,Left Knee,341,795,353,785,346,785,15.62049935,89.58633377,11.18033989,92.54644008,,,,,,,,,,,,,,,,,,
,Right Knee,649,745,639,745,641,746,10,93.33333333,8.062257748,94.6251615,,,,,,,,,,,,,,,,,,
,Left Ankle,233,894,221,905,235,893,16.2788206,89.14745294,2.236067977,98.50928802,,,,,,,,,,,,,,,,,,
,Right Ankle,654,893,655,898,656,898,5.099019514,96.60065366,5.385164807,96.40989013,,,,,,,,,,,,,,,,,,
Yoga_5,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Nose,559,297,564,291,564,297,7.810249676,94.79316688,5,96.66666667,,,,,,,,,,,,,,,,,,
,Left Shoulder,447,367,466,372,441,366,19.6468827,86.9020782,6.08276253,95.94482498,,,,,,,,,,,,,,,,,,
,Right Shoulder,582,371,576,368,584,374,6.708203932,95.52786405,3.605551275,97.59629915,,,,,,,,,,,,,,,,,,
,Left Elbow,330,384,338,381,322,379,8.544003745,94.3039975,9.433981132,93.71067925,,,,,,,,,,,,,,,,,,
,Right Elbow,683,376,684,378,687,379,2.236067977,98.50928802,5,96.66666667,,,,,,,,,,,,,,,,,,
,Left Wrist,218,370,217,372,220,374,2.236067977,98.50928802,4.472135955,97.01857603,,,,,,,,,,,,,,,,,,
,Right Wrist,798,366,799,368,798,369,2.236067977,98.50928802,3,98,,,,,,,,,,,,,,,,,,
,Left Hip,462,556,472,580,461,571,26,82.66666667,15.03329638,89.97780241,,,,,,,,,,,,,,,,,,
,Right Hip,561,556,558,576,559,574,20.22374842,86.51750106,18.11077028,87.92615315,,,,,,,,,,,,,,,,,,
,Left Knee,358,729,366,713,346,728,17.88854382,88.07430412,12.04159458,91.97227028,,,,,,,,,,,,,,,,,,
,Right Knee,702,670,685,671,705,673,17.02938637,88.64707576,4.242640687,97.17157288,,,,,,,,,,,,,,,,,,
,Left Ankle,226,842,222,841,232,846,4.123105626,97.25126292,7.211102551,95.1925983,,,,,,,,,,,,,,,,,,
